accuracy,f1_macro,precision_macro,recall_macro,dataset_name,estimator_name,repetition,split
d2_iris,e4_GaussianNB,r0,train,0.9444444444444444,0.944429008057794,0.9447534297367445,0.9444444444444445
d2_iris,e4_GaussianNB,r0,test0,1.0,1.0,1.0,1.0
d2_iris,e4_GaussianNB,r0,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e4_GaussianNB,r1,train,0.9666666666666667,0.9666574048346764,0.9670003707823508,0.9666666666666668
d2_iris,e4_GaussianNB,r1,test0,1.0,1.0,1.0,1.0
d2_iris,e4_GaussianNB,r1,test1,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332
d2_iris,e5_KNeighborsClassifier,r0,train,0.9777777777777777,0.9777777777777779,0.9777777777777779,0.9777777777777779
d2_iris,e5_KNeighborsClassifier,r0,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e5_KNeighborsClassifier,r0,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e5_KNeighborsClassifier,r1,train,0.9888888888888889,0.9888858016115587,0.989247311827957,0.9888888888888889
d2_iris,e5_KNeighborsClassifier,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e5_KNeighborsClassifier,r1,test1,0.8666666666666667,0.8653198653198654,0.875,0.8666666666666666
d2_iris,e6_SVC,r0,train,0.9888888888888889,0.9888858016115588,0.989247311827957,0.9888888888888889
d2_iris,e6_SVC,r0,test0,1.0,1.0,1.0,1.0
d2_iris,e6_SVC,r0,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e6_SVC,r1,train,1.0,1.0,1.0,1.0
d2_iris,e6_SVC,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e6_SVC,r1,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e7_GaussianProcessClassifier,r0,train,0.9777777777777777,0.9777777777777779,0.9777777777777779,0.9777777777777779
d2_iris,e7_GaussianProcessClassifier,r0,test0,1.0,1.0,1.0,1.0
d2_iris,e7_GaussianProcessClassifier,r0,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e7_GaussianProcessClassifier,r1,train,0.9555555555555556,0.9555061179087875,0.9568452380952381,0.9555555555555556
d2_iris,e7_GaussianProcessClassifier,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e7_GaussianProcessClassifier,r1,test1,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e8_MLPClassifier,r0,train,0.9777777777777777,0.9777530589543938,0.9791666666666666,0.9777777777777779
d2_iris,e8_MLPClassifier,r0,test0,1.0,1.0,1.0,1.0
d2_iris,e8_MLPClassifier,r0,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e8_MLPClassifier,r1,train,0.9888888888888889,0.9888858016115588,0.989247311827957,0.9888888888888889
d2_iris,e8_MLPClassifier,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e8_MLPClassifier,r1,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e9_Perceptron,r0,train,0.6666666666666666,0.5348546978070957,0.44798407167745147,0.6666666666666666
d2_iris,e9_Perceptron,r0,test0,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666
d2_iris,e9_Perceptron,r0,test1,0.6666666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666
d2_iris,e9_Perceptron,r1,train,0.34444444444444444,0.1895726032348423,0.44569288389513106,0.3444444444444445
d2_iris,e9_Perceptron,r1,test0,0.36666666666666664,0.23154623154623155,0.4482758620689655,0.3666666666666667
d2_iris,e9_Perceptron,r1,test1,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.3333333333333333
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,test0,0.8611111111111112,0.5671920919048892,0.5642857142857143,0.5707070707070707
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,test1,0.8703703703703703,0.6142857142857142,0.60543580131209,0.6262626262626263
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,test0,0.8888888888888888,0.6363636363636364,0.6363636363636364,0.6363636363636364
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,test1,0.8888888888888888,0.6363636363636364,0.6363636363636364,0.6363636363636364
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,test0,0.9166666666666666,0.6776119402985075,0.7205882352941176,0.6515151515151515
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,test1,0.8888888888888888,0.595,0.6082036775106082,0.5858585858585859
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,train,0.9969135802469136,0.9900659205886861,0.9983164983164983,0.9821428571428572
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,test0,0.8888888888888888,0.6363636363636364,0.6363636363636364,0.6363636363636364
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,test1,0.8703703703703703,0.5275000000000001,0.5318246110325319,0.5252525252525253
d3_climate-model-simulation-crashes,e4_GaussianNB,r0,train,0.8888888888888888,0.7253978717393351,0.6903346887707226,0.7936776061776062
d3_climate-model-simulation-crashes,e4_GaussianNB,r0,test0,0.8981481481481481,0.6059701492537314,0.6323529411764706,0.5909090909090908
