fit_time,pred_time,dataset_name,estimator_name,repetition,split
d3_climate-model-simulation-crashes,e6_SVC,r1,test1,0 days 00:00:00.007356000,0 days 00:00:00.001706000
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0,train,0 days 00:00:00.035143000,0 days 00:00:00.005360000
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0,test0,0 days 00:00:00.035143000,0 days 00:00:00.002004000
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0,test1,0 days 00:00:00.035143000,0 days 00:00:00.002087000
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1,train,0 days 00:00:00.034112000,0 days 00:00:00.005228000
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1,test0,0 days 00:00:00.034112000,0 days 00:00:00.002376000
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1,test1,0 days 00:00:00.034112000,0 days 00:00:00.002122000
d3_climate-model-simulation-crashes,e8_MLPClassifier,r0,train,0 days 00:00:00.071371000,0 days 00:00:00.000452000
d3_climate-model-simulation-crashes,e8_MLPClassifier,r0,test0,0 days 00:00:00.071371000,0 days 00:00:00.000444000
d3_climate-model-simulation-crashes,e8_MLPClassifier,r0,test1,0 days 00:00:00.071371000,0 days 00:00:00.000362000
d3_climate-model-simulation-crashes,e8_MLPClassifier,r1,train,0 days 00:00:00.017420000,0 days 00:00:00.000437000
d3_climate-model-simulation-crashes,e8_MLPClassifier,r1,test0,0 days 00:00:00.017420000,0 days 00:00:00.000441000
d3_climate-model-simulation-crashes,e8_MLPClassifier,r1,test1,0 days 00:00:00.017420000,0 days 00:00:00.000380000
d3_climate-model-simulation-crashes,e9_Perceptron,r0,train,0 days 00:00:00.000781000,0 days 00:00:00.000124000
d3_climate-model-simulation-crashes,e9_Perceptron,r0,test0,0 days 00:00:00.000781000,0 days 00:00:00.000145000
d3_climate-model-simulation-crashes,e9_Perceptron,r0,test1,0 days 00:00:00.000781000,0 days 00:00:00.000166000
d3_climate-model-simulation-crashes,e9_Perceptron,r1,train,0 days 00:00:00.000704000,0 days 00:00:00.000125000
d3_climate-model-simulation-crashes,e9_Perceptron,r1,test0,0 days 00:00:00.000704000,0 days 00:00:00.000135000
d3_climate-model-simulation-crashes,e9_Perceptron,r1,test1,0 days 00:00:00.000704000,0 days 00:00:00.000144000
d4_diabetes,e0_ExtraTreesClassifier,r0,train,0 days 00:00:00.538440000,0 days 00:00:00.058837000
d4_diabetes,e0_ExtraTreesClassifier,r0,test0,0 days 00:00:00.538440000,0 days 00:00:00.041123000
d4_diabetes,e0_ExtraTreesClassifier,r0,test1,0 days 00:00:00.538440000,0 days 00:00:00.041035000
d4_diabetes,e0_ExtraTreesClassifier,r1,train,0 days 00:00:00.540830000,0 days 00:00:00.058678000
