@RELATION evaluation_times

@ATTRIBUTE train_size REAL
@ATTRIBUTE fit_time INTEGER
@ATTRIBUTE score_time INTEGER
@ATTRIBUTE dataset_name {d0_speeddating, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis, d10_ringnorm, d11_credit-g}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}
@ATTRIBUTE split {train, test0, test1}

@DATA
0.6,'0 days 00:00:00.001253','0 days 00:00:00.001497',d2_iris,e5_KNeighborsClassifier,r1,test1
0.6,'0 days 00:00:00.006227','0 days 00:00:00.000433',d2_iris,e6_SVC,r0,train
0.6,'0 days 00:00:00.006227','0 days 00:00:00.000527',d2_iris,e6_SVC,r0,test0
0.6,'0 days 00:00:00.006227','0 days 00:00:00.000293',d2_iris,e6_SVC,r0,test1
0.6,'0 days 00:00:00.001390','0 days 00:00:00.000397',d2_iris,e6_SVC,r1,train
0.6,'0 days 00:00:00.001390','0 days 00:00:00.000267',d2_iris,e6_SVC,r1,test0
0.6,'0 days 00:00:00.001390','0 days 00:00:00.000272',d2_iris,e6_SVC,r1,test1
0.6,'0 days 00:00:00.092874','0 days 00:00:00.038431',d2_iris,e7_GaussianProcessClassifier,r0,train
0.6,'0 days 00:00:00.092874','0 days 00:00:00.026953',d2_iris,e7_GaussianProcessClassifier,r0,test0
0.6,'0 days 00:00:00.092874','0 days 00:00:00.029849',d2_iris,e7_GaussianProcessClassifier,r0,test1
0.6,'0 days 00:00:00.078198','0 days 00:00:00.005807',d2_iris,e7_GaussianProcessClassifier,r1,train
0.6,'0 days 00:00:00.078198','0 days 00:00:00.023607',d2_iris,e7_GaussianProcessClassifier,r1,test0
0.6,'0 days 00:00:00.078198','0 days 00:00:00.017618',d2_iris,e7_GaussianProcessClassifier,r1,test1
0.6,'0 days 00:00:00.199771','0 days 00:00:00.000535',d2_iris,e8_MLPClassifier,r0,train
0.6,'0 days 00:00:00.199771','0 days 00:00:00.000493',d2_iris,e8_MLPClassifier,r0,test0
0.6,'0 days 00:00:00.199771','0 days 00:00:00.000478',d2_iris,e8_MLPClassifier,r0,test1
0.6,'0 days 00:00:00.192099','0 days 00:00:00.000401',d2_iris,e8_MLPClassifier,r1,train
0.6,'0 days 00:00:00.192099','0 days 00:00:00.000434',d2_iris,e8_MLPClassifier,r1,test0
0.6,'0 days 00:00:00.192099','0 days 00:00:00.000433',d2_iris,e8_MLPClassifier,r1,test1
0.6,'0 days 00:00:00.001898','0 days 00:00:00.000230',d2_iris,e9_Perceptron,r0,train
0.6,'0 days 00:00:00.001898','0 days 00:00:00.000398',d2_iris,e9_Perceptron,r0,test0
0.6,'0 days 00:00:00.001898','0 days 00:00:00.000364',d2_iris,e9_Perceptron,r0,test1
0.6,'0 days 00:00:00.001707','0 days 00:00:00.000207',d2_iris,e9_Perceptron,r1,train
0.6,'0 days 00:00:00.001707','0 days 00:00:00.000233',d2_iris,e9_Perceptron,r1,test0
0.6,'0 days 00:00:00.001707','0 days 00:00:00.000221',d2_iris,e9_Perceptron,r1,test1
0.6,'0 days 00:00:00.794159','0 days 00:00:00.066656',d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,train
0.6,'0 days 00:00:00.794159','0 days 00:00:00.047462',d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test0
0.6,'0 days 00:00:00.794159','0 days 00:00:00.052369',d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test1
0.6,'0 days 00:00:00.831115','0 days 00:00:00.085718',d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,train
0.6,'0 days 00:00:00.831115','0 days 00:00:00.055323',d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test0
0.6,'0 days 00:00:00.831115','0 days 00:00:00.048329',d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test1
0.6,'0 days 00:00:01.068151','0 days 00:00:00.060385',d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,train
0.6,'0 days 00:00:01.068151','0 days 00:00:00.048244',d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test0
0.6,'0 days 00:00:01.068151','0 days 00:00:00.049640',d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test1
0.6,'0 days 00:00:01.079343','0 days 00:00:00.060853',d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,train
0.6,'0 days 00:00:01.079343','0 days 00:00:00.050914',d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test0
0.6,'0 days 00:00:01.079343','0 days 00:00:00.054242',d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test1
0.6,'0 days 00:00:00.006472','0 days 00:00:00.000363',d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,train
0.6,'0 days 00:00:00.006472','0 days 00:00:00.000221',d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,test0
0.6,'0 days 00:00:00.006472','0 days 00:00:00.000267',d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,test1
